origin,destination,flows
USA,USA,0
USA,CAN,42888
USA,WEU,194646
USA,JPK,55860.6
USA,ANZ,15393.6
USA,EEU,37772.2
USA,FSU,97236.2
USA,MDE,42974.8
USA,CAM,420655.4
USA,LAM,67276.4
USA,SAS,53436.2
USA,SEA,93831.8
USA,CHI,55967.2
USA,MAF,6291
USA,SSA,30928.8
USA,SIS,83377.6
CAN,USA,31108
CAN,CAN,0
CAN,WEU,54187.2
CAN,JPK,5128.6
CAN,ANZ,4520
CAN,EEU,13724.4
CAN,FSU,15102
CAN,MDE,11780.4
CAN,CAM,4511.8
CAN,LAM,6665.4
CAN,SAS,18961.8
CAN,SEA,17267.6
CAN,CHI,20092.6
CAN,MAF,4113.8
CAN,SSA,6999.8
CAN,SIS,8017.4
WEU,USA,115693.6
WEU,CAN,77894.8
WEU,WEU,859892.4
WEU,JPK,8536.6
WEU,ANZ,102611.8
WEU,EEU,254546.6
WEU,FSU,231361.2
WEU,MDE,116265.4
WEU,CAM,10342.4
WEU,LAM,124603.4
WEU,SAS,61934.8
WEU,SEA,35078.2
WEU,CHI,25922.8
WEU,MAF,114877.4
WEU,SSA,114344.4
WEU,SIS,29236
JPK,USA,38351
JPK,CAN,4368.2
JPK,WEU,7549.8
JPK,JPK,28594.4
JPK,ANZ,5066.8
JPK,EEU,242
JPK,FSU,2862
JPK,MDE,310.8
JPK,CAM,423.4
JPK,LAM,8835
JPK,SAS,2236.6
JPK,SEA,14017
JPK,CHI,33195.6
JPK,MAF,111
JPK,SSA,306.2
JPK,SIS,159.8
ANZ,USA,9910.6
ANZ,CAN,4037
ANZ,WEU,86472
ANZ,JPK,5609.6
ANZ,ANZ,46249.4
ANZ,EEU,10280
ANZ,FSU,5777.4
ANZ,MDE,9863.2
ANZ,CAM,469.6
ANZ,LAM,2887.6
ANZ,SAS,13302.8
ANZ,SEA,21040.2
ANZ,CHI,14059.8
ANZ,MAF,1253
ANZ,SSA,9507.8
ANZ,SIS,4742.2
EEU,USA,30003.8
EEU,CAN,16766.2
EEU,WEU,449130.4
EEU,JPK,234.4
EEU,ANZ,8290
EEU,EEU,130037.8
EEU,FSU,44343.4
EEU,MDE,22534.8
EEU,CAM,189.8
EEU,LAM,1167.6
EEU,SAS,150
EEU,SEA,1367.2
EEU,CHI,714.8
EEU,MAF,383.4
EEU,SSA,2609.2
EEU,SIS,511.2
FSU,USA,26174.6
FSU,CAN,4687.8
FSU,WEU,120554.2
FSU,JPK,1595.2
FSU,ANZ,1496.6
FSU,EEU,21963.8
FSU,FSU,1217102.6
FSU,MDE,11587.2
FSU,CAM,110.8
FSU,LAM,422.8
FSU,SAS,925.6
FSU,SEA,550.8
FSU,CHI,3243.6
FSU,MAF,515.8
FSU,SSA,559.8
FSU,SIS,118.8
MDE,USA,135476.8
MDE,CAN,26621.4
MDE,WEU,280077.2
MDE,JPK,1235.4
MDE,ANZ,17602.8
MDE,EEU,28113.4
MDE,FSU,50013.2
MDE,MDE,1552212.6
MDE,CAM,557.2
MDE,LAM,3152.8
MDE,SAS,375742.8
MDE,SEA,77883
MDE,CHI,956.6
MDE,MAF,113023.4
MDE,SSA,29697
MDE,SIS,152
CAM,USA,633693.8
CAM,CAN,10049.2
CAM,WEU,19630.8
CAM,JPK,635.2
CAM,ANZ,1281.6
CAM,EEU,393
CAM,FSU,542.2
CAM,MDE,485.6
CAM,CAM,47670.2
CAM,LAM,6537.4
CAM,SAS,128.6
CAM,SEA,112
CAM,CHI,825.4
CAM,MAF,64.4
CAM,SSA,200.6
CAM,SIS,3558.4
LAM,USA,184917.6
LAM,CAN,21340.2
LAM,WEU,219766.6
LAM,JPK,13985.2
LAM,ANZ,8395.2
LAM,EEU,3313.6
LAM,FSU,2243.8
LAM,MDE,7884.4
LAM,CAM,18508.4
LAM,LAM,268831.8
LAM,SAS,399.4
LAM,SEA,203.2
LAM,CHI,6928.8
LAM,MAF,304.2
LAM,SSA,3002.4
LAM,SIS,6875
SAS,USA,310769.2
SAS,CAN,89079
SAS,WEU,303714.8
SAS,JPK,18227.2
SAS,ANZ,76990.6
SAS,EEU,1768.2
SAS,FSU,7727.2
SAS,MDE,1141207.2
SAS,CAM,1510.4
SAS,LAM,1213.8
SAS,SAS,777828.2
SAS,SEA,142098.8
SAS,CHI,13890.8
SAS,MAF,585.2
SAS,SSA,6415
SAS,SIS,14998.8
SEA,USA,239300.2
SEA,CAN,50288.4
SEA,WEU,113141.2
SEA,JPK,59556.6
SEA,ANZ,71064.6
SEA,EEU,6702.4
SEA,FSU,3941.8
SEA,MDE,164076.8
SEA,CAM,357.8
SEA,LAM,604.4
SEA,SAS,44228
SEA,SEA,453369.4
SEA,CHI,44007.4
SEA,MAF,1509.4
SEA,SSA,1173.2
SEA,SIS,1416
CHI,USA,153265
CHI,CAN,50496.6
CHI,WEU,63293.2
CHI,JPK,97020.2
CHI,ANZ,37182.2
CHI,EEU,3222.4
CHI,FSU,17499.8
CHI,MDE,2172.8
CHI,CAM,2112.8
CHI,LAM,6039.2
CHI,SAS,5346.8
CHI,SEA,39123.8
CHI,CHI,182274.6
CHI,MAF,117.8
CHI,SSA,4095
CHI,SIS,543.6
MAF,USA,40811.6
MAF,CAN,10998.4
MAF,WEU,234972.8
MAF,JPK,276.4
MAF,ANZ,3127.8
MAF,EEU,1805.6
MAF,FSU,3094.6
MAF,MDE,196695
MAF,CAM,188.6
MAF,LAM,484.4
MAF,SAS,286.4
MAF,SEA,1209.8
MAF,CHI,128
MAF,MAF,13629.2
MAF,SSA,12096.8
MAF,SIS,233.4
SSA,USA,181396.2
SSA,CAN,42107.8
SSA,WEU,446022.4
SSA,JPK,1409.4
SSA,ANZ,43959
SSA,EEU,3683
SSA,FSU,2651.2
SSA,MDE,75648.8
SSA,CAM,586
SSA,LAM,5204.8
SSA,SAS,2932.8
SSA,SEA,378.4
SSA,CHI,1109.4
SSA,MAF,14961.8
SSA,SSA,1745125.8
SSA,SIS,2616.8
SIS,USA,159852.2
SIS,CAN,18822
SIS,WEU,50603
SIS,JPK,483.4
SIS,ANZ,18272.2
SIS,EEU,2127.8
SIS,FSU,643.2
SIS,MDE,538
SIS,CAM,4442.4
SIS,LAM,4071
SIS,SAS,1397.4
SIS,SEA,1217.2
SIS,CHI,393.4
SIS,MAF,502.6
SIS,SSA,6976.2
SIS,SIS,36213.4
