origin,destination,phi
NAM,AGO,0.2250208333333333
BGD,ARE,0.023920312499999995
EGY,ARE,0.030186250000000005
IDN,ARE,0.061684375000000014
IND,ARE,0.02635350877192982
JOR,ARE,0.04297500000000001
LKA,ARE,0.03255138888888891
NPL,ARE,0.031123333333333312
PAK,ARE,0.026926056338028154
PHL,ARE,0.031297916666666675
SDN,ARE,0.013949999999999995
SSD,ARE,0.042129999999999994
YEM,ARE,0.04012400000000001
CHN,AUS,0.06830253164556961
FJI,AUS,0.08008629032258069
IDN,AUS,0.06031428571428571
IND,AUS,0.04798055555555556
LBN,AUS,0.09980517241379308
LKA,AUS,0.05809666666666669
MYS,AUS,0.09757307692307692
PAK,AUS,0.049407936507936484
PHL,AUS,0.04075376712328767
SOM,AUS,0.10498999999999999
THA,AUS,0.08838611111111111
TON,AUS,0.09100409836065575
VNM,AUS,0.06501420454545456
VUT,AUS,0.1508663461538461
WSM,AUS,0.10398018867924527
ZWE,AUS,0.09141714285714282
BIH,AUT,0.054196153846153845
HRV,AUT,0.0546948717948718
HUN,AUT,0.06524749999999999
KSV,AUT,0.05655
SRB,AUT,0.06545869565217392
TUR,AUT,0.056892
COD,BEL,0.07949605263157897
DZA,BEL,0.0773478260869565
MAR,BEL,0.044130188679245286
TUR,BEL,0.072275
EGY,BHR,0.063925
IND,BHR,0.024909821428571424
PAK,BHR,0.02311428571428571
BOL,BRA,0.04240277777777777
PER,BRA,0.05076704545454546
PRY,BRA,0.047830555555555564
CHN,CAN,0.05747878787878787
GHA,CAN,0.07622083333333332
GUY,CAN,0.0967076923076923
HTI,CAN,0.08230937500000002
IND,CAN,0.0466168831168831
JAM,CAN,0.08086944444444445
KEN,CAN,0.07690119047619047
LBN,CAN,0.0893462962962963
LKA,CAN,0.0498851851851852
NGA,CAN,0.057896874999999993
PAK,CAN,0.03635416666666666
PHL,CAN,0.03614047619047619
RWA,CAN,0.079103125
VNM,CAN,0.05790357142857144
ZWE,CAN,0.08327413793103448
ALB,CHE,0.1009232142857143
HUN,CHE,0.08622884615384616
KSV,CHE,0.0646037037037037
LKA,CHE,0.08151
SRB,CHE,0.12773
PER,CHL,0.03893414634146342
MLI,CIV,0.028709375000000002
NGA,CMR,0.09133749999999999
NIC,CRI,0.030145833333333337
UKR,CZE,0.07318604651162793
VNM,CZE,0.07902976190476194
AFG,DEU,0.10111875000000001
ALB,DEU,0.06384166666666669
BGR,DEU,0.04946046511627907
BIH,DEU,0.05820686274509804
CHN,DEU,0.08872555555555556
GHA,DEU,0.08804270833333332
HRV,DEU,0.05521363636363635
HUN,DEU,0.06613000000000001
IND,DEU,0.0688676056338028
KGZ,DEU,0.06910483870967742
KSV,DEU,0.05202708333333333
LBN,DEU,0.10333604651162791
MAR,DEU,0.07709083333333332
MDA,DEU,0.07721612903225808
MKD,DEU,0.06790208333333334
NGA,DEU,0.06343666666666666
ROU,DEU,0.03794999999999999
SRB,DEU,0.06626458333333334
TGO,DEU,0.05765625
THA,DEU,0.09461129032258064
TJK,DEU,0.06610441176470588
TUR,DEU,0.05324718309859157
