origin,destination,rho
AFG,AFG,0.0
AFG,AGO,0.0
AFG,ALB,0.0
AFG,AND,0.0
AFG,ARE,0.0064646195417479785
AFG,ARG,0.01034483578362568
AFG,ARM,0.0
AFG,ATG,0.0
AFG,AUS,0.0025609038662864447
AFG,AUT,0.0011169186507483805
AFG,AZE,0.0
AFG,BDI,0.0
AFG,BEL,0.0009086017060979058
AFG,BEN,0.0
AFG,BFA,0.0
AFG,BGD,0.0
AFG,BGR,0.011594163677377527
AFG,BHR,0.008448964494185593
AFG,BHS,0.0
AFG,BIH,0.0
AFG,BLR,0.022563597720405424
AFG,BLZ,0.0
AFG,BOL,0.028552731843627516
AFG,BRA,0.011207140082082364
AFG,BRB,0.0
AFG,BRN,0.0
AFG,BTN,0.0
AFG,BWA,0.0
AFG,CAF,0.0
AFG,CAN,0.004213920306098901
AFG,CHE,0.002065244983795809
AFG,CHL,0.0104152624925769
AFG,CHN,0.015186630559616091
AFG,CIV,0.0
AFG,CMR,0.0
AFG,COD,0.0
AFG,COG,0.0
AFG,COL,0.01854172096952668
AFG,COM,0.0
AFG,CPV,0.0
AFG,CRI,0.011765478805985809
AFG,CYP,0.007276165312704504
AFG,CZE,0.009124187730116817
AFG,DEU,0.0026191769785738495
AFG,DJI,0.0
AFG,DMA,0.0
AFG,DNK,0.003854592599480274
AFG,DOM,0.018291587147558342
AFG,DZA,0.0
AFG,ECU,0.01891978870796861
AFG,EGY,0.028570343439097486
AFG,ESP,0.0
AFG,EST,0.0033511319874116106
AFG,ETH,0.0
AFG,FIN,0.0036177856792249745
AFG,FJI,0.0
AFG,FRA,0.004924064091560489
AFG,FSM,0.0
AFG,GAB,0.0
AFG,GBR,0.005028303881310062
AFG,GEO,0.0
AFG,GHA,0.0
AFG,GIN,0.0
AFG,GMB,0.0
AFG,GNB,0.0
AFG,GNQ,0.0
AFG,GRC,0.00045550185326705817
AFG,GRD,0.0
AFG,GTM,0.0
AFG,GUY,0.0
AFG,HKG,0.0
AFG,HND,0.0
AFG,HRV,0.0
AFG,HTI,0.0
AFG,HUN,0.006957089371894098
AFG,IDN,0.0
AFG,IND,0.04530725187078462
AFG,IRL,0.0035528248067304845
AFG,IRN,0.023861252827454865
AFG,IRQ,0.020356420634920262
AFG,ISL,0.0016083223341474794
AFG,ISR,0.004968307414506032
AFG,ITA,0.002841328586059035
AFG,JAM,0.0
AFG,JOR,0.02274181518144154
AFG,JPN,0.0
AFG,KAZ,0.0
AFG,KEN,0.04554936586926676
AFG,KGZ,0.0
AFG,KHM,0.0
AFG,KIR,0.0
AFG,KNA,0.0
AFG,KOR,0.0
AFG,KWT,0.006513059209751663
AFG,LAO,0.0
AFG,LBN,0.0
AFG,LBR,0.0
AFG,LBY,0.016217635138122657
AFG,LCA,0.0
AFG,LKA,0.0
AFG,LSO,0.0
AFG,LTU,0.008832971771557499
AFG,LUX,0.0
AFG,LVA,0.010737241585181542
AFG,MAC,0.0
AFG,MAR,0.0
AFG,MDA,0.037464117609000265
AFG,MDG,0.0
AFG,MDV,0.0
AFG,MEX,0.015792764240577566
AFG,MHL,0.0
AFG,MKD,0.0
AFG,MLI,0.0
AFG,MLT,0.007220996964829363
AFG,MMR,0.0
AFG,MNE,0.0
AFG,MNG,0.0
AFG,MOZ,0.0
AFG,MRT,0.057344581996602
AFG,MUS,0.0
AFG,MWI,0.0
AFG,MYS,0.0
AFG,NAM,0.0
AFG,NER,0.0
AFG,NGA,0.0
AFG,NIC,0.019580078939315154
AFG,NLD,0.004866720862381285
AFG,NOR,0.0030507810395954188
AFG,NPL,0.0
AFG,NZL,0.0043981760448820175
AFG,OMN,0.0
AFG,PAK,0.07721245607763104
AFG,PAN,0.010173233096486857
AFG,PER,0.018604662694563012
AFG,PHL,0.033432069518705136
AFG,PLW,0.0
AFG,PNG,0.0
AFG,POL,0.012194737360005021
AFG,PRT,0.008477126043298708
AFG,PRY,0.0
AFG,QAT,0.005811970950610559
AFG,ROU,0.01447767817872134
AFG,RUS,0.014000362602677785
AFG,RWA,0.0
AFG,SAU,0.013217861475117193
AFG,SDN,0.0
AFG,SEN,0.0
AFG,SGP,0.0
AFG,SLB,0.0
AFG,SLE,0.0
AFG,SLV,0.0
AFG,SMR,0.0
AFG,SOM,0.0
AFG,SRB,0.0
AFG,STP,0.0
AFG,SUR,0.0
AFG,SVK,0.007844929814423049
AFG,SVN,0.004406483223748273
AFG,SWE,0.0034669362970931733
AFG,SWZ,0.0
AFG,SYC,0.0
AFG,TCD,0.0
AFG,TGO,0.0
AFG,THA,0.020158491886885906
AFG,TJK,0.07024295109387588
AFG,TKM,0.0
AFG,TLS,0.0
AFG,TON,0.0
AFG,TTO,0.0
AFG,TUN,0.0
AFG,TUR,0.006242022792961804
AFG,TUV,0.0
AFG,TZA,0.0
AFG,UGA,0.0
AFG,UKR,0.019041809802444253
AFG,URY,0.0
AFG,USA,0.003072078691546753
AFG,UZB,0.05349801814427731
AFG,VCT,0.0
AFG,VNM,0.0
AFG,VUT,0.025552491493596428
AFG,WSM,0.0
AFG,XKX,0.0
AFG,ZAF,0.006170699043150717
AFG,ZMB,0.0
AFG,ZWE,0.0
AGO,AFG,0.0
AGO,AGO,0.0
AGO,ALB,0.0
AGO,AND,0.0
AGO,ARE,0.0
AGO,ARG,0.0009044903815009895
AGO,ARM,0.0
