Country Code;2017 [YR2017]
AFG;585.8500638
ALB;4537.862492
DZA;4123.389937
ASM;..
AND;39146.54884
AGO;4170.31228
ATG;15021.73818
ARG;14401.97485
ARM;3936.79832
ABW;..
AUS;53799.93809
AUT;47290.91165
AZE;4131.61831
BHS;30762.01244
BHR;23655.0356
BGD;1516.513423
BRB;16788.68392
BLR;5726.029673
BEL;43323.80734
BLZ;4905.506284
BEN;829.7972306
BMU;..
BTN;3110.230113
BOL;3393.955818
BIH;5180.636301
BWA;7595.59585
BRA;9821.407686
VGB;..
BRN;28290.5852
BGR;8031.598442
BFA;670.7059131
BDI;320.0868701
CPV;3209.69112
KHM;1384.423187
CMR;1446.702895
CAN;45032.11991
CYM;..
CAF;418.411287
TCD;669.8864259
CHI;..
CHL;15346.4497
CHN;8826.994096
COL;6301.589878
COM;797.2863685
COD;457.8473868
COG;1658.043625
CRI;11630.6684
CIV;1662.442467
HRV;13294.51493
CUB;..
CUW;..
CYP;25233.57098
CZE;20368.13856
DNK;56307.5083
DJI;1927.589706
DMA;7609.614349
DOM;7052.258839
ECU;6198.947323
EGY;2412.727082
SLV;3889.308769
GNQ;9850.013585
ERI;..
EST;19704.65504
SWZ;3224.393024
ETH;767.5634778
FRO;..
FJI;5589.388833
FIN;45703.32787
FRA;38476.65864
PYF;..
GAB;7220.687235
GMB;483.0224586
GEO;4078.254879
DEU;44469.90906
GHA;1641.486625
GIB;..
GRC;18613.42387
GRL;..
GRD;10376.22703
GUM;..
GTM;4470.989572
GIN;825.3449298
GNB;723.6586216
GUY;4725.319063
HTI;765.6839246
HND;2480.125929
HKG;46193.61452
HUN;14224.84646
ISL;70056.87339
IND;1939.612984
IDN;3846.864323
IRN;5415.209635
IRQ;5165.714157
IRL;69330.69015
IMN;..
ISR;40270.25135
ITA;31952.97592
JAM;5109.552649
JPN;38428.09732
JOR;4129.751671
KAZ;8837.457302
KEN;1507.814864
KIR;1685.166939
PRK;..
KOR;29742.83886
XKX;3893.969824
KWT;29040.36371
KGZ;1219.824048
LAO;2457.376266
LVA;15594.28602
LBN;8523.74955
LSO;1181.811759
LBR;456.0530154
LBY;7998.028819
LIE;..
LTU;16680.6781
LUX;104103.0367
MAC;80892.82133
MKD;5442.609944
MDG;449.7223819
MWI;338.4836424
MYS;9944.9043
MDV;10535.7947
MLI;824.5162257
MLT;26945.98388
MHL;3753.256293
MRT;1136.763975
MUS;10547.21683
MEX;8902.830823
FSM;3187.55716
MDA;2289.877719
MCO;..
MNG;3735.164302
MNE;7669.571906
MAR;3007.242877
MOZ;415.7177167
MMR;1298.881989
NAM;5227.18001
NRU;8343.827999
NPL;835.0798466
NLD;48223.15549
NCL;..
NZL;42940.57829
NIC;2221.806445
NER;378.0603077
NGA;1968.557681
MNP;..
NOR;75504.56626
OMN;15668.36663
PAK;1547.853414
PLW;13417.29026
PAN;15087.68163
PNG;2555.853162
PRY;4365.526162
PER;6571.928645
PHL;2988.952703
POL;13811.66424
PRT;21136.29721
PRI;..
QAT;63505.80525
ROU;10813.7166
RUS;10743.09659
RWA;748.39326
WSM;4360.75395
SMR;49664.02557
STP;1912.970722
SAU;20760.90601
SEN;1033.069906
SRB;5900.038108
SYC;15504.46446
SLE;499.4262954
SGP;57714.29663
SXM;..
SVK;17604.95098
SVN;23597.29173
SLB;2132.115058
SOM;499.8168017
ZAF;6160.734569
SSD;..
ESP;28156.81584
LKA;4065.224874
KNA;17090.15234
LCA;9574.302496
MAF;..
VCT;7185.179119
SDN;2898.549346
SUR;5900.556486
SWE;53442.00828
CHE;80189.69686
SYR;..
TJK;800.9669641
TZA;936.330768
THA;6593.819806
TLS;2279.253204
TGO;617.1766097
TON;3944.246001
TTO;16145.18457
TUN;3490.828293
TUR;10540.618
TKM;7355.831345
TCA;..
TUV;3549.974741
UGA;604.0427482
UKR;2639.824326
ARE;40698.84934
GBR;39720.44343
USA;59531.66196
URY;16245.59837
UZB;1504.226546
VUT;3123.614592
VEN;..
VNM;2343.124575
VIR;..
PSE;3094.725747
YEM;..
ZMB;1509.797013
ZWE;1079.608291
