year,orig,dest,fe_year
1990,AGO,AUS,-15.999067559232843
1990,AGO,BWA,-15.999067559232843
1990,AGO,CHL,-15.999067559232843
1990,AGO,COG,-15.999067559232843
1990,AGO,ESP,-15.999067559232843
1990,AGO,FIN,-15.999067559232843
1990,AGO,GBR,-15.999067559232843
1990,AGO,IRL,-15.999067559232843
1990,AGO,ITA,-15.999067559232843
1990,AGO,NAM,-15.999067559232843
1990,AGO,PHL,-15.999067559232843
1990,AGO,SWZ,-15.999067559232843
1990,AGO,ZAF,-15.999067559232843
1990,AGO,ZMB,-15.999067559232843
1990,ALB,ARG,-15.999067559232843
1990,ALB,AUS,-15.999067559232843
1990,ALB,AUT,-15.999067559232843
1990,ALB,BEL,-15.999067559232843
1990,ALB,BGR,-15.999067559232843
1990,ALB,CAN,-15.999067559232843
1990,ALB,CHL,-15.999067559232843
1990,ALB,COL,-15.999067559232843
1990,ALB,CRI,-15.999067559232843
1990,ALB,CYP,-15.999067559232843
1990,ALB,CZE,-15.999067559232843
1990,ALB,DEU,-15.999067559232843
1990,ALB,DNK,-15.999067559232843
1990,ALB,ECU,-15.999067559232843
1990,ALB,ESP,-15.999067559232843
1990,ALB,FIN,-15.999067559232843
1990,ALB,FRA,-15.999067559232843
1990,ALB,GBR,-15.999067559232843
1990,ALB,GRC,-15.999067559232843
1990,ALB,HRV,-15.999067559232843
1990,ALB,HUN,-15.999067559232843
1990,ALB,IRL,-15.999067559232843
1990,ALB,ISL,-15.999067559232843
1990,ALB,ITA,-15.999067559232843
1990,ALB,LUX,-15.999067559232843
1990,ALB,LVA,-15.999067559232843
1990,ALB,MKD,-15.999067559232843
1990,ALB,MLT,-15.999067559232843
1990,ALB,NLD,-15.999067559232843
1990,ALB,NOR,-15.999067559232843
1990,ALB,PHL,-15.999067559232843
1990,ALB,PRT,-15.999067559232843
1990,ALB,RUS,-15.999067559232843
1990,ALB,SVK,-15.999067559232843
1990,ALB,SVN,-15.999067559232843
1990,ALB,SWE,-15.999067559232843
1990,ALB,TUR,-15.999067559232843
1990,ALB,USA,-15.999067559232843
1990,ALB,ZAF,-15.999067559232843
1990,ARE,ATG,-15.999067559232843
1990,ARE,AUS,-15.999067559232843
1990,ARE,AUT,-15.999067559232843
1990,ARE,BEL,-15.999067559232843
1990,ARE,BGD,-15.999067559232843
1990,ARE,BGR,-15.999067559232843
1990,ARE,BHR,-15.999067559232843
1990,ARE,BLR,-15.999067559232843
1990,ARE,BOL,-15.999067559232843
1990,ARE,BRA,-15.999067559232843
1990,ARE,BRB,-15.999067559232843
1990,ARE,BWA,-15.999067559232843
1990,ARE,CAF,-15.999067559232843
1990,ARE,CAN,-15.999067559232843
1990,ARE,CHE,-15.999067559232843
1990,ARE,CHL,-15.999067559232843
1990,ARE,CHN,-15.999067559232843
1990,ARE,COL,-15.999067559232843
1990,ARE,CYP,-15.999067559232843
1990,ARE,CZE,-15.999067559232843
1990,ARE,DEU,-15.999067559232843
1990,ARE,DNK,-15.999067559232843
1990,ARE,DOM,-15.999067559232843
1990,ARE,DZA,-15.999067559232843
1990,ARE,ECU,-15.999067559232843
1990,ARE,EGY,-15.999067559232843
1990,ARE,ESP,-15.999067559232843
1990,ARE,ETH,-15.999067559232843
1990,ARE,FIN,-15.999067559232843
1990,ARE,FRA,-15.999067559232843
1990,ARE,GBR,-15.999067559232843
1990,ARE,GHA,-15.999067559232843
1990,ARE,GRC,-15.999067559232843
1990,ARE,HKG,-15.999067559232843
1990,ARE,HUN,-15.999067559232843
1990,ARE,IND,-15.999067559232843
1990,ARE,IRL,-15.999067559232843
1990,ARE,ISL,-15.999067559232843
1990,ARE,ISR,-15.999067559232843
1990,ARE,ITA,-15.999067559232843
1990,ARE,JAM,-15.999067559232843
1990,ARE,JOR,-15.999067559232843
1990,ARE,JPN,-15.999067559232843
1990,ARE,KEN,-15.999067559232843
1990,ARE,KOR,-15.999067559232843
1990,ARE,LBN,-15.999067559232843
1990,ARE,LBR,-15.999067559232843
1990,ARE,LCA,-15.999067559232843
1990,ARE,LKA,-15.999067559232843
1990,ARE,LTU,-15.999067559232843
